STACK LOGFILE
Time: 23:33:12
Day:  Friday
=======================================================================================
|Name_stack: |Command:    |Argument:     |Stack size: |Status?                         
|            |            |              |            |                                
=======================================================================================
|            |            |              |            |                                
|&garbage_stk|stack_ctor  | -            |0           |OK
|            |            |              |            |
|&garbage_stk|stack_push  |0x600002a3c000|1           |OK
|            |            |              |            |
|&garbage_stk|stack_push  |0x600002a3c020|2           |OK
|            |            |              |            |
|&garbage_stk|stack_push  |0x600002a3c040|3           |OK
|            |            |              |            |
|&garbage_stk|stack_push  |0x600002a3c060|4           |OK
|            |            |              |            |
|&garbage_stk|stack_push  |0x600002a3c080|5           |OK
|            |            |              |            |
|&garbage_stk|stack_push  |0x600002a3c0a0|6           |OK
|            |            |              |            |
|&garbage_stk|stack_push  |0x600002a3c0c0|7           |OK
|            |            |              |            |
|&garbage_stk|stack_push  |0x600002a3c0e0|8           |OK
|            |            |              |            |
|&garbage_stk|stack_push  |0x600002a3c100|9           |OK
|            |            |              |            |
|&garbage_stk|stack_push  |0x600002a3c120|10          |OK
|            |            |              |            |
|&garbage_stk|stack_push  |0x600002a3c140|11          |OK
|            |            |              |            |
|&garbage_stk|stack_push  |0x600002a3c160|12          |OK
|            |            |              |            |
|&garbage_stk|stack_push  |0x600002a3c180|13          |OK
|            |            |              |            |
|&garbage_stk|stack_push  |0x600002a3c1a0|14          |OK
|            |            |              |            |
|&garbage_stk|stack_push  |0x600002a3c1c0|15          |OK
|            |            |              |            |
|&garbage_stk|stack_push  |0x600002a3c1e0|16          |OK
|            |            |              |            |
|&garbage_stk|stack_push  |0x600002a3c200|17          |OK
|            |            |              |            |
|&garbage_stk|stack_push  |0x600002a3c220|18          |OK
|            |            |              |            |
|&garbage_stk|stack_push  |0x600002a3c240|19          |OK
|            |            |              |            |
|&garbage_stk|stack_push  |0x600002a3c260|20          |OK
|            |            |              |            |
|&garbage_stk|stack_push  |0x600002a3c280|21          |OK
|            |            |              |            |
|&garbage_stk|stack_push  |0x600002a3c2a0|22          |OK
|            |            |              |            |
|&garbage_stk|stack_push  |0x600002a3c2c0|23          |OK
|            |            |              |            |
|&garbage_stk|stack_push  |0x600002a3c2e0|24          |OK
|            |            |              |            |
|&garbage_stk|stack_push  |0x600002a3c300|25          |OK
|            |            |              |            |
|&garbage_stk|stack_push  |0x600002a3c320|26          |OK
|            |            |              |            |
|&garbage_stk|stack_push  |0x600002a3c340|27          |OK
|            |            |              |            |
|&garbage_stk|stack_push  |0x600002a3c360|28          |OK
|            |            |              |            |
|&garbage_stk|stack_push  |0x600002a3c380|29          |OK
|            |            |              |            |
|&garbage_stk|stack_push  |0x600002a3c3a0|30          |OK
|            |            |              |            |
|&garbage_stk|stack_push  |0x600002a3c3c0|31          |OK
|            |            |              |            |
|&garbage_stk|stack_push  |0x600002a3c3e0|32          |OK
|            |            |              |            |
|&garbage_stk|stack_push  |0x600002a3c400|33          |OK
|            |            |              |            |
|&garbage_stk|stack_push  |0x600002a3c420|34          |OK
|            |            |              |            |
|&garbage_stk|stack_push  |0x600002a3c440|35          |OK
|            |            |              |            |
|&garbage_stk|stack_push  |0x600002a3c460|36          |OK
|            |            |              |            |
